id,venue_name,event_name,event_description,event_date,ticket_price,tickets_available
57,The Groove Gallery,Luna & The Starlights - Open Mic Night,Local talent spotlight featuring Luna & The Starlights. Don't forget to arrive early for the opening acts.,2025-03-22,$144.00,170
58,Amplify Arena,Sonic Waves - Concert,Join us for an unforgettable night of live music featuring Sonic Waves. Limited VIP packages available.,2025-02-24,$92.00,60
59,Amplify Arena,Neon Pulse - Music Festival,A night of non-stop music headlined by Neon Pulse. Early bird tickets on sale now.,2025-03-10,$95.00,222
60,Amplify Arena,Mountain Echo - Live Band,Witness a powerful live performance from Mountain Echo. Perfect for date night or gathering with friends.,2025-03-24,$168.00,231
61,Chord Castle,The Beat Makers - Music Festival,A night of non-stop music headlined by The Beat Makers. Perfect for date night or gathering with friends.,2025-03-13,$119.00,217
62,Chord Castle,The Midnight Echoes - Rock Show,Experience the raw power of The Midnight Echoes. Early bird tickets on sale now.,2025-03-29,$120.00,210
63,Chord Castle,The Beat Makers - Jazz Night,An evening of jazz excellence with The Beat Makers. Featuring special guest performances.,2025-03-17,$157.00,240
64,Chord Castle,The Beat Makers - Electronic Music,Progressive electronic sounds from The Beat Makers. Perfect for date night or gathering with friends.,2025-03-07,$49.00,190
65,Chord Castle,The Midnight Echoes - Live Band,Experience raw musical talent with The Midnight Echoes. Early bird tickets on sale now.,2025-02-25,$148.00,155
66,Metro Music Hall,The Beat Makers - Album Release,Celebrate the latest release with The Beat Makers. Limited VIP packages available.,2025-02-24,$86.00,180
67,Metro Music Hall,Digital Dreams - DJ Night,Get ready for an energetic mix session by Digital Dreams. Perfect for date night or gathering with friends.,2025-02-17,$85.00,80
68,Metro Music Hall,Ocean Drive - Electronic Music,Cutting-edge electronic music featuring Ocean Drive. Featuring special guest performances.,2025-03-24,$85.00,137
69,Metro Music Hall,Crystal Cascade - Rock Show,High-energy rock performance by Crystal Cascade. Don't forget to arrive early for the opening acts.,2025-04-02,$95.00,236
70,Metro Music Hall,Electric Sky - Rock Show,Get ready to rock with Electric Sky. Early bird tickets on sale now.,2025-04-03,$20.00,222
71,Fusion Factory,Desert Storm - Album Release,Be among the first to hear the new album from Desert Storm. Don't forget to arrive early for the opening acts.,2025-03-26,$81.00,56
72,Fusion Factory,The Midnight Echoes - Music Festival,Multi-stage festival experience featuring The Midnight Echoes. Perfect for date night or gathering with friends.,2025-03-31,$122.00,198
73,Fusion Factory,Luna & The Starlights - Album Release,Celebrate the latest release with Luna & The Starlights. Meet & greet opportunities available.,2025-02-10,$123.00,205
74,The Treble Tavern,Sonic Waves - Music Festival,An explosive festival showcase starring Sonic Waves. Early bird tickets on sale now.,2025-02-11,$142.00,65
75,The Treble Tavern,Luna & The Starlights - Concert,Don't miss this spectacular performance by Luna & The Starlights. Meet & greet opportunities available.,2025-02-24,$79.00,99
76,The Treble Tavern,Sonic Waves - Live Band,Witness a powerful live performance from Sonic Waves. Early bird tickets on sale now.,2025-02-09,$112.00,177
77,The Treble Tavern,Ocean Drive - Concert,Experience an incredible evening with Ocean Drive. Meet & greet opportunities available.,2025-03-31,$92.00,169
78,The Treble Tavern,Desert Storm - Rock Show,Get ready to rock with Desert Storm. Limited VIP packages available.,2025-03-21,$60.00,191
79,Symphony Space,The Beat Makers - Concert,Join us for an unforgettable night of live music featuring The Beat Makers. Perfect for date night or gathering with friends.,2025-02-24,$23.00,97
80,Symphony Space,Digital Dreams - Jazz Night,An evening of jazz excellence with Digital Dreams. Meet & greet opportunities available.,2025-04-04,$32.00,89
81,Symphony Space,The Beat Makers - Album Release,Be among the first to hear the new album from The Beat Makers. Limited VIP packages available.,2025-04-01,$156.00,204
82,Symphony Space,Thunder Road - Electronic Music,Cutting-edge electronic music featuring Thunder Road. Don't forget to arrive early for the opening acts.,2025-02-13,$54.00,50
